batch_id|batch_timestamp|is_deleted|id|CreatedBy|CreatedOn|LastUpdatedBy|LastUpdatedOn|Name|Description|ExternalID|LastUpdatedBySystemOn|Availability|EntityType|AttachmentsCount|ImageUrl|CustomCss
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Profile/659299ff-c519-4e73-a027-51fda4e879e3||2014-12-07 15:12:37.246019|/User/560c8896-a389-41e1-b703-c385c0ea29ee|2016-02-22 22:25:59.166513|Default Profile||659299ff-c519-4e73-a027-51fda4e879e3|2016-02-22 22:25:59.166513|100.0|Profile|0|https://app2.clarizen.com/Clarizen/Media/35.185006.0-1B4DB91631E421A01431C171B6B50D762EC43101/Image.gif|
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Profile/b3e3abcb-7587-44c7-a622-f17598f704f8|/User/88555bf4-151b-42e4-889c-cf69dbcc6b64|2015-03-25 09:28:03.672284|/User/88555bf4-151b-42e4-889c-cf69dbcc6b64|2015-05-12 09:05:15.502008|Teraspeed||b3e3abcb-7587-44c7-a622-f17598f704f8|2015-05-12 09:05:15.502008|100.0|Profile|0|https://app2.clarizen.com/Clarizen/Media/35.185006.0-1B4DB91631E421A01431C171B6B50D762EC43101/Image.gif|
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Profile/2f0010bd-5db8-4108-a12e-345832757dbe|/User/88555bf4-151b-42e4-889c-cf69dbcc6b64|2015-04-09 06:55:00.216952|/User/560c8896-a389-41e1-b703-c385c0ea29ee|2015-04-09 07:08:42.116528|Admin||2f0010bd-5db8-4108-a12e-345832757dbe|2015-04-09 07:08:42.116528|100.0|Profile|0|https://app2.clarizen.com/Clarizen/Media/35.185006.0-1B4DB91631E421A01431C171B6B50D762EC43101/Image.gif|
