batch_id|batch_timestamp|is_deleted|id|CreatedBy|CreatedOn|LastUpdatedBy|LastUpdatedOn|LastUpdatedBySystemOn|EntityType|User|Entity|ExternalID|Follow|C_Column1
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Following/56ajn3cvq9yduuif8e81ojkr110016|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.033019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.033019|2016-11-02 08:21:04.033019|Following|/User/5787760f-e4d7-4607-a7e3-be219e1cbd25|/Task/5fq1um1o320unrpg6uv49obxq9847|56ajn3cvq9yduuif8e81ojkr110016|True|4243
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Following/5fq1um1o320unrpg6uv49obxq9815|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:02.918019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:02.918019|2016-11-02 08:21:02.918019|Following|/User/5787760f-e4d7-4607-a7e3-be219e1cbd25|/Task/5fq1um1o320unrpg6uv49obxq9638|5fq1um1o320unrpg6uv49obxq9815|True|3567
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Following/56ajn3cvq9yduuif8e81ojkr110217|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:05.270019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:05.270019|2016-11-02 08:21:05.270019|Following|/User/5787760f-e4d7-4607-a7e3-be219e1cbd25|/Task/56ajn3cvq9yduuif8e81ojkr110048|56ajn3cvq9yduuif8e81ojkr110217|True|7646
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Following/56ajn3cvq9yduuif8e81ojkr110418|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:06.354019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:06.354019|2016-11-02 08:21:06.354019|Following|/User/5787760f-e4d7-4607-a7e3-be219e1cbd25|/Task/56ajn3cvq9yduuif8e81ojkr110249|56ajn3cvq9yduuif8e81ojkr110418|True|768
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Following/56ajn3cvq9yduuif8e81ojkr110812|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.472019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.472019|2016-11-02 08:21:08.472019|Following|/User/5787760f-e4d7-4607-a7e3-be219e1cbd25|/Task/56ajn3cvq9yduuif8e81ojkr110647|56ajn3cvq9yduuif8e81ojkr110812|True|4636
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Following/3c1zucnkph26b7ern4z8sw9wk11009|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.708019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.708019|2016-11-02 08:21:09.708019|Following|/User/5787760f-e4d7-4607-a7e3-be219e1cbd25|/Task/56ajn3cvq9yduuif8e81ojkr110844|3c1zucnkph26b7ern4z8sw9wk11009|True|4564
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Following/56ajn3cvq9yduuif8e81ojkr110615|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:07.401019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:07.401019|2016-11-02 08:21:07.401019|Following|/User/5787760f-e4d7-4607-a7e3-be219e1cbd25|/Task/56ajn3cvq9yduuif8e81ojkr110450|56ajn3cvq9yduuif8e81ojkr110615|True|5798
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Following/3c1zucnkph26b7ern4z8sw9wk11206|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.794019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.794019|2016-11-02 08:21:10.794019|Following|/User/5787760f-e4d7-4607-a7e3-be219e1cbd25|/Task/3c1zucnkph26b7ern4z8sw9wk11041|3c1zucnkph26b7ern4z8sw9wk11206|True|43
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Following/392xsugq8lzw1k7563hpqegtn5424|/User/6b9be61c-d944-4950-9485-4178b253b69a|2016-11-02 22:43:37.941978|/User/6b9be61c-d944-4950-9485-4178b253b69a|2016-11-02 22:43:37.941978|2016-11-02 22:43:37.941978|Following|/User/6b9be61c-d944-4950-9485-4178b253b69a|/Task/4dfdicy1kw920kpl5nxtyg0qj13830|392xsugq8lzw1k7563hpqegtn5424|True|68744
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/Following/74q9roesu4z6skgigoahtizn0|/User/88555bf4-151b-42e4-889c-cf69dbcc6b64|2016-11-03 03:11:17.752624|/User/88555bf4-151b-42e4-889c-cf69dbcc6b64|2016-11-03 03:11:17.752624|2016-11-03 03:11:17.752624|Following|/User/282d5e38-e5b7-4ebb-b36d-bfb442288910|/Task/4dfdicy1kw920kpl5nxtyg0qj13830|74q9roesu4z6skgigoahtizn0|True|4677
