batch_id|batch_timestamp|is_deleted|id|CreatedBy|CreatedOn|LastUpdatedBy|LastUpdatedOn|WorkItem|Resource|RemainingEffort|Units|ExternalID|ResourceRole|Work|WorkManuallySet|RemainingEffortManuallySet|UnitsManuallySet|Duration|ActualRegularEffort|ActualRegularManuallySet|ActualOvertimeEffort|ActualOvertimeEffortManuallySet|LastUpdatedBySystemOn|WorkVariance|Role|Availability|EntityType|PercentCompleted|CompletnessDefinition|PendingTime|RevenueRegularRate|RevenueOvertimeRate|ManagerRole
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/1vwo028b11ouihu9an2dyxjbk2317|/User/5e02cc7f-5fea-40cb-9b2a-4e91236aba62|2016-03-23 15:07:27.581361|/User/2c5db03a-2077-451e-9963-276b5dd3a047|2016-11-02 16:06:00.555042|/Task/1vwo028b11ouihu9an2dyxjbk2313|/User/5e02cc7f-5fea-40cb-9b2a-4e91236aba62|80.0|100.0|1vwo028b11ouihu9an2dyxjbk2317|Manager|80.0|False|False|False|2.0|0.0|False|0.0|False|2016-11-02 17:33:16.586024|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110753|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.480019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.480019|/Task/56ajn3cvq9yduuif8e81ojkr110635|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110753|Manager|15.0|False|False|False|15.0|0.0|False|0.0|False|2016-11-02 08:21:08.480019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110762|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.480019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.480019|/Task/56ajn3cvq9yduuif8e81ojkr110638|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110762|Manager||False|False|False||0.0|False|0.0|False|2016-11-02 08:21:08.480019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110768|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.480019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.480019|/Task/56ajn3cvq9yduuif8e81ojkr110641|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110768|Manager|0.0|False|False|False|0.0|0.0|False|0.0|False|2016-11-02 08:21:08.480019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110774|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.481019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.481019|/Task/56ajn3cvq9yduuif8e81ojkr110644|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110774|Manager|60.0|False|False|False|60.0|0.0|False|0.0|False|2016-11-02 08:21:08.481019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110780|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.481019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.481019|/Task/56ajn3cvq9yduuif8e81ojkr110647|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110780|Manager|5.0|False|False|False|5.0|0.0|False|0.0|False|2016-11-02 08:21:08.481019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110786|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.481019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.481019|/Task/56ajn3cvq9yduuif8e81ojkr110650|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110786|Manager|30.0|False|False|False|30.0|0.0|False|0.0|False|2016-11-02 08:21:08.481019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110792|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.481019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.481019|/Milestone/56ajn3cvq9yduuif8e81ojkr110627|/User/598964a5-6557-48dc-830c-c10fbc0222ca|||56ajn3cvq9yduuif8e81ojkr110792|Manager||||||||||2016-11-02 08:21:08.481019|||100.0|Owner||0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110798|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.481019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:08.481019|/Milestone/56ajn3cvq9yduuif8e81ojkr110630|/User/598964a5-6557-48dc-830c-c10fbc0222ca|||56ajn3cvq9yduuif8e81ojkr110798|Manager||||||||||2016-11-02 08:21:08.481019|||100.0|Owner||0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110944|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/Project/2deaf95owsbxguu2rahstv6gs8459|/User/598964a5-6557-48dc-830c-c10fbc0222ca|||56ajn3cvq9yduuif8e81ojkr110944|Manager||||||||||2016-11-02 08:21:09.719019|||100.0|Owner||0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110950|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/Task/56ajn3cvq9yduuif8e81ojkr110832|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110950|Manager|15.0|False|False|False|15.0|0.0|False|0.0|False|2016-11-02 08:21:09.719019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110959|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/Task/56ajn3cvq9yduuif8e81ojkr110835|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110959|Manager|3.0|False|False|False|3.0|0.0|False|0.0|False|2016-11-02 08:21:09.719019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110965|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/Task/56ajn3cvq9yduuif8e81ojkr110838|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110965|Manager|0.0|False|False|False|0.0|0.0|False|0.0|False|2016-11-02 08:21:09.719019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110971|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/Task/56ajn3cvq9yduuif8e81ojkr110841|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110971|Manager|60.0|False|False|False|60.0|0.0|False|0.0|False|2016-11-02 08:21:09.719019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110977|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/Task/56ajn3cvq9yduuif8e81ojkr110844|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110977|Manager|5.0|False|False|False|5.0|0.0|False|0.0|False|2016-11-02 08:21:09.719019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110983|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/Task/56ajn3cvq9yduuif8e81ojkr110847|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110983|Manager|30.0|False|False|False|30.0|0.0|False|0.0|False|2016-11-02 08:21:09.719019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110989|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.719019|/Milestone/56ajn3cvq9yduuif8e81ojkr110824|/User/598964a5-6557-48dc-830c-c10fbc0222ca|||56ajn3cvq9yduuif8e81ojkr110989|Manager||||||||||2016-11-02 08:21:09.719019|||100.0|Owner||0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/5fq1um1o320unrpg6uv49obxq9956|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.043019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.043019|/Task/5fq1um1o320unrpg6uv49obxq9835|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|5fq1um1o320unrpg6uv49obxq9956|Manager|15.0|False|False|False|15.0|0.0|False|0.0|False|2016-11-02 08:21:04.043019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/5fq1um1o320unrpg6uv49obxq9977|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.043019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.043019|/Task/5fq1um1o320unrpg6uv49obxq9844|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|5fq1um1o320unrpg6uv49obxq9977|Manager|60.0|False|False|False|60.0|0.0|False|0.0|False|2016-11-02 08:21:04.043019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/5fq1um1o320unrpg6uv49obxq9983|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.043019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.043019|/Task/5fq1um1o320unrpg6uv49obxq9847|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|5fq1um1o320unrpg6uv49obxq9983|Manager|5.0|False|False|False|5.0|0.0|False|0.0|False|2016-11-02 08:21:04.043019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/5fq1um1o320unrpg6uv49obxq9965|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.043019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.043019|/Task/5fq1um1o320unrpg6uv49obxq9838|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|5fq1um1o320unrpg6uv49obxq9965|Manager|3.0|False|False|False|3.0|0.0|False|0.0|False|2016-11-02 08:21:04.043019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/5fq1um1o320unrpg6uv49obxq9971|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.043019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:04.043019|/Task/5fq1um1o320unrpg6uv49obxq9841|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|5fq1um1o320unrpg6uv49obxq9971|Manager|0.0|False|False|False|0.0|0.0|False|0.0|False|2016-11-02 08:21:04.043019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110583|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:07.410019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:07.410019|/Task/56ajn3cvq9yduuif8e81ojkr110450|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110583|Manager|5.0|False|False|False|5.0|0.0|False|0.0|False|2016-11-02 08:21:07.410019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110589|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:07.410019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:07.410019|/Task/56ajn3cvq9yduuif8e81ojkr110453|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110589|Manager|30.0|False|False|False|30.0|0.0|False|0.0|False|2016-11-02 08:21:07.410019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110995|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.720019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:09.720019|/Milestone/56ajn3cvq9yduuif8e81ojkr110827|/User/598964a5-6557-48dc-830c-c10fbc0222ca|||56ajn3cvq9yduuif8e81ojkr110995|Manager||||||||||2016-11-02 08:21:09.720019|||100.0|Owner||0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/3c1zucnkph26b7ern4z8sw9wk11967|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:14.040019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:14.040019|/Project/2deaf95owsbxguu2rahstv6gs8481|/User/598964a5-6557-48dc-830c-c10fbc0222ca|||3c1zucnkph26b7ern4z8sw9wk11967|Manager||||||||||2016-11-02 08:21:14.040019|||100.0|Owner||0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/3c1zucnkph26b7ern4z8sw9wk11979|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:14.040019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:14.040019|/Task/3c1zucnkph26b7ern4z8sw9wk11721|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|3c1zucnkph26b7ern4z8sw9wk11979|Manager|5.0|False|False|False|5.0|0.0|False|0.0|False|2016-11-02 08:21:14.040019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/3c1zucnkph26b7ern4z8sw9wk11985|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:14.040019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:14.040019|/Task/3c1zucnkph26b7ern4z8sw9wk11724|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|3c1zucnkph26b7ern4z8sw9wk11985|Manager|10.0|False|False|False|10.0|0.0|False|0.0|False|2016-11-02 08:21:14.040019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/3c1zucnkph26b7ern4z8sw9wk11991|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:14.040019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:14.040019|/Task/3c1zucnkph26b7ern4z8sw9wk11727|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|3c1zucnkph26b7ern4z8sw9wk11991|Manager|15.0|False|False|False|15.0|0.0|False|0.0|False|2016-11-02 08:21:14.040019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/5fq1um1o320unrpg6uv49obxq9786|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:02.936019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:02.936019|/Task/5fq1um1o320unrpg6uv49obxq9641|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|5fq1um1o320unrpg6uv49obxq9786|Manager|30.0|False|False|False|30.0|0.0|False|0.0|False|2016-11-02 08:21:02.936019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/5fq1um1o320unrpg6uv49obxq9792|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:02.936019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:02.936019|/Milestone/5fq1um1o320unrpg6uv49obxq9618|/User/598964a5-6557-48dc-830c-c10fbc0222ca|||5fq1um1o320unrpg6uv49obxq9792|Manager||||||||||2016-11-02 08:21:02.936019|||100.0|Owner||0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/5fq1um1o320unrpg6uv49obxq9780|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:02.936019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:02.936019|/Task/5fq1um1o320unrpg6uv49obxq9638|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|5fq1um1o320unrpg6uv49obxq9780|Manager|5.0|False|False|False|5.0|0.0|False|0.0|False|2016-11-02 08:21:02.936019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110184|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:05.280019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:05.280019|/Task/56ajn3cvq9yduuif8e81ojkr110048|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110184|Manager|5.0|False|False|False|5.0|0.0|False|0.0|False|2016-11-02 08:21:05.280019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110190|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:05.280019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:05.280019|/Task/56ajn3cvq9yduuif8e81ojkr110051|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|56ajn3cvq9yduuif8e81ojkr110190|Manager|30.0|False|False|False|30.0|0.0|False|0.0|False|2016-11-02 08:21:05.280019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/56ajn3cvq9yduuif8e81ojkr110196|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:05.280019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:05.280019|/Milestone/56ajn3cvq9yduuif8e81ojkr110028|/User/598964a5-6557-48dc-830c-c10fbc0222ca|||56ajn3cvq9yduuif8e81ojkr110196|Manager||||||||||2016-11-02 08:21:05.280019|||100.0|Owner||0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/3c1zucnkph26b7ern4z8sw9wk11141|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.803019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.803019|/Project/2deaf95owsbxguu2rahstv6gs8464|/User/598964a5-6557-48dc-830c-c10fbc0222ca|||3c1zucnkph26b7ern4z8sw9wk11141|Manager||||||||||2016-11-02 08:21:10.803019|||100.0|Owner||0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/3c1zucnkph26b7ern4z8sw9wk11147|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.804019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.804019|/Task/3c1zucnkph26b7ern4z8sw9wk11029|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|3c1zucnkph26b7ern4z8sw9wk11147|Manager|15.0|False|False|False|15.0|0.0|False|0.0|False|2016-11-02 08:21:10.804019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/3c1zucnkph26b7ern4z8sw9wk11156|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.804019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.804019|/Task/3c1zucnkph26b7ern4z8sw9wk11032|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|3c1zucnkph26b7ern4z8sw9wk11156|Manager|3.0|False|False|False|3.0|0.0|False|0.0|False|2016-11-02 08:21:10.804019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/3c1zucnkph26b7ern4z8sw9wk11162|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.804019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.804019|/Task/3c1zucnkph26b7ern4z8sw9wk11035|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|3c1zucnkph26b7ern4z8sw9wk11162|Manager|0.0|False|False|False|0.0|0.0|False|0.0|False|2016-11-02 08:21:10.804019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/3c1zucnkph26b7ern4z8sw9wk11168|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.804019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.804019|/Task/3c1zucnkph26b7ern4z8sw9wk11038|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|3c1zucnkph26b7ern4z8sw9wk11168|Manager|60.0|False|False|False|60.0|0.0|False|0.0|False|2016-11-02 08:21:10.804019|||100.0|Owner|0.0|0|0.0|||Owner
e99b74722c0c4dcf90e1d3b4961e9b7d|2016-11-03 06:06:57.227000|False|/OwnerLink/3c1zucnkph26b7ern4z8sw9wk11174|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.804019|/User/598964a5-6557-48dc-830c-c10fbc0222ca|2016-11-02 08:21:10.804019|/Task/3c1zucnkph26b7ern4z8sw9wk11041|/User/598964a5-6557-48dc-830c-c10fbc0222ca|0.0|0.0|3c1zucnkph26b7ern4z8sw9wk11174|Manager|5.0|False|False|False|5.0|0.0|False|0.0|False|2016-11-02 08:21:10.804019|||100.0|Owner|0.0|0|0.0|||Owner
